HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
01/06/2024,0,2.3,58.0,235.0,3.1,0.0
01/06/2024,1,0.3,69.0,62.0,1.8,0.0
01/06/2024,2,0.0,74.0,62.0,1.4,0.0
01/06/2024,3,1.1,70.0,59.0,2.3,0.0
01/06/2024,4,0.5,76.0,69.0,1.6,0.0
01/06/2024,5,0.9,74.0,53.0,2.1,0.0
01/06/2024,6,3.0,74.0,47.0,1.5,0.0
01/06/2024,7,5.1,60.0,224.0,6.0,0.0
01/06/2024,8,7.5,54.0,219.0,7.1,0.0
01/06/2024,9,10.2,46.0,220.0,6.6,0.0
01/06/2024,10,11.6,41.0,233.0,8.9,0.0
01/06/2024,11,12.6,40.0,263.0,8.6,0.0
01/06/2024,12,13.7,44.0,245.0,12.4,0.0
01/06/2024,13,14.0,40.0,240.0,11.8,0.0
01/06/2024,14,14.7,40.0,235.0,12.9,0.0
01/06/2024,15,12.6,44.0,227.0,15.7,0.0
01/06/2024,16,12.5,46.0,230.0,14.2,0.0
01/06/2024,17,12.6,45.0,232.0,12.2,0.0
01/06/2024,18,12.7,42.0,230.0,12.3,0.0
01/06/2024,19,12.3,43.0,239.0,8.0,0.0
01/06/2024,20,11.0,50.0,231.0,11.1,0.0
01/06/2024,21,9.7,55.0,248.0,5.6,0.0
01/06/2024,22,7.8,62.0,232.0,5.4,0.0
01/06/2024,23,7.2,65.0,210.0,6.4,0.0
02/06/2024,0,6.6,68.0,211.0,8.2,0.0
02/06/2024,1,6.0,69.0,227.0,5.9,0.0
02/06/2024,2,5.2,72.0,233.0,7.8,0.0
02/06/2024,3,4.2,76.0,233.0,5.3,0.0
02/06/2024,4,3.3,79.0,233.0,7.2,0.0
02/06/2024,5,3.3,80.0,231.0,5.4,0.0
02/06/2024,6,4.5,75.0,225.0,7.3,0.0
02/06/2024,7,5.7,71.0,225.0,8.9,0.0
02/06/2024,8,10.5,54.0,215.0,10.1,0.0
02/06/2024,9,12.0,40.0,235.0,10.2,0.0
02/06/2024,10,13.2,35.0,236.0,11.6,0.0
02/06/2024,11,15.2,33.0,220.0,14.2,0.0
02/06/2024,12,14.3,32.0,234.0,11.0,0.0
02/06/2024,13,14.6,31.0,224.0,11.7,0.0
02/06/2024,14,15.3,32.0,243.0,11.6,0.0
02/06/2024,15,17.7,32.0,232.0,11.9,0.0
02/06/2024,16,15.5,31.0,244.0,11.1,0.0
02/06/2024,17,14.8,34.0,235.0,10.2,0.0
02/06/2024,18,13.9,41.0,244.0,9.2,0.0
02/06/2024,19,13.9,42.0,233.0,6.2,0.0
02/06/2024,20,13.0,47.0,214.0,6.6,0.0
02/06/2024,21,11.8,54.0,229.0,7.3,0.0
02/06/2024,22,10.9,58.0,222.0,8.8,0.0
02/06/2024,23,9.7,63.0,246.0,5.5,0.0
03/06/2024,0,10.0,60.0,259.0,5.8,0.0
03/06/2024,1,9.5,64.0,242.0,5.0,0.0
03/06/2024,2,9.5,63.0,249.0,6.5,0.0
03/06/2024,3,8.8,66.0,235.0,7.6,0.0
03/06/2024,4,8.5,67.0,230.0,7.4,0.0
03/06/2024,5,7.8,75.0,229.0,7.1,0.0
03/06/2024,6,8.4,75.0,215.0,7.5,0.0
03/06/2024,7,8.9,70.0,241.0,7.8,0.0
03/06/2024,8,8.9,84.0,241.0,8.7,0.3
03/06/2024,9,10.9,67.0,241.0,9.7,0.0
03/06/2024,10,12.8,52.0,236.0,12.2,0.0
03/06/2024,11,13.0,49.0,240.0,11.2,0.0
03/06/2024,12,14.8,41.0,220.0,13.1,0.0
03/06/2024,13,14.4,41.0,229.0,13.2,0.0
03/06/2024,14,15.0,34.0,229.0,12.3,0.0
03/06/2024,15,15.5,32.0,253.0,11.0,0.0
03/06/2024,16,16.6,35.0,249.0,12.8,0.0
03/06/2024,17,14.6,36.0,247.0,9.5,0.0
03/06/2024,18,12.0,50.0,244.0,10.9,0.0
03/06/2024,19,10.5,54.0,251.0,11.5,0.0
03/06/2024,20,8.8,61.0,250.0,12.5,0.0
03/06/2024,21,6.5,84.0,235.0,12.4,0.3
03/06/2024,22,6.4,90.0,231.0,7.1,0.4
03/06/2024,23,6.6,83.0,241.0,5.6,0.0
04/06/2024,0,7.0,72.0,240.0,6.4,0.0
04/06/2024,1,7.5,64.0,247.0,8.1,0.0
04/06/2024,2,7.6,61.0,240.0,10.2,0.0
04/06/2024,3,7.6,58.0,242.0,9.9,0.0
04/06/2024,4,7.7,55.0,242.0,9.3,0.0
04/06/2024,5,6.4,63.0,259.0,9.8,0.0
04/06/2024,6,6.8,57.0,257.0,9.6,0.0
04/06/2024,7,8.5,45.0,241.0,14.7,0.0
04/06/2024,8,8.3,44.0,229.0,17.1,0.0
04/06/2024,9,9.4,41.0,239.0,17.1,0.0
04/06/2024,10,9.5,43.0,237.0,16.9,0.0
04/06/2024,11,10.7,40.0,239.0,16.7,0.0
04/06/2024,12,11.9,36.0,228.0,21.8,0.0
04/06/2024,13,10.4,41.0,225.0,21.0,0.0
04/06/2024,14,11.1,40.0,259.0,10.4,0.0
04/06/2024,15,11.6,45.0,270.0,9.1,0.0
04/06/2024,16,11.3,43.0,232.0,13.7,0.0
04/06/2024,17,9.5,54.0,234.0,14.6,0.0
04/06/2024,18,7.3,76.0,235.0,11.3,0.0
04/06/2024,19,6.2,74.0,253.0,9.7,0.7
04/06/2024,20,6.0,75.0,238.0,9.4,0.1
04/06/2024,21,5.7,71.0,241.0,9.8,0.0
04/06/2024,22,4.5,76.0,239.0,9.9,0.0
04/06/2024,23,4.3,72.0,248.0,9.0,0.0
05/06/2024,0,5.1,67.0,241.0,9.4,0.0
05/06/2024,1,4.5,69.0,243.0,8.3,0.0
